traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
70,1000,1000,1000,2,1ms,1678533010889,1678533070891
70,1000,1000,1000,2,25ms,1678533071148,1678533131147
70,1000,1000,1000,2,50ms,1678533131423,1678533191427
70,1000,1000,1000,5,1ms,1678533191685,1678533251685
70,1000,1000,1000,5,25ms,1678533251940,1678533311949
70,1000,1000,1000,5,50ms,1678533312214,1678533372223
100,1,1,1,1,1ms,1678533373455,1678533433464
100,1,1,1,1,25ms,1678533433706,1678533493713
100,1,1,1,1,50ms,1678533493958,1678533553985
100,1,1,1,2,1ms,1678533554241,1678533614242
100,1,1,1,2,25ms,1678533614507,1678533674515
100,1,1,1,2,50ms,1678533674763,1678533734766
100,1,1,1,5,1ms,1678533735036,1678533795036
100,1,1,1,5,25ms,1678533795301,1678533855306
100,1,1,1,5,50ms,1678533855588,1678533915592
100,1,1,50,1,1ms,1678533916083,1678533976084
100,1,1,50,1,25ms,1678533976344,1678534036349
100,1,1,50,1,50ms,1678534036632,1678534096636
100,1,1,50,2,1ms,1678534096891,1678534156892
100,1,1,50,2,25ms,1678534157160,1678534217161
100,1,1,50,2,50ms,1678534217441,1678534277442
100,1,1,50,5,1ms,1678534277715,1678534337716
100,1,1,50,5,25ms,1678534337980,1678534397984
100,1,1,50,5,50ms,1678534398262,1678534458265
100,1,1,1000,1,1ms,1678534458773,1678534518777
100,1,1,1000,1,25ms,1678534519018,1678534579022
100,1,1,1000,1,50ms,1678534579263,1678534639267
100,1,1,1000,2,1ms,1678534639509,1678534699509
100,1,1,1000,2,25ms,1678534699765,1678534759753
100,1,1,1000,2,50ms,1678534760015,1678534820019
